case_id,vacancy_id,candidate_id,lane,activity,activity_type,assignee,start_time,end_time,duration_min,outcome,notes
019dba5c-c90e-408a-9c6b-6e68eb4c74c4,VAC-1053,CAND-10053,РУКОВОДИТЕЛЬ,Создать заявку,User Task,Иванов_5,2025-10-05 20:43:26,2025-10-05 21:34:26,51,,
019dba5c-c90e-408a-9c6b-6e68eb4c74c4,VAC-1053,CAND-10053,HR,Зарегистрировать в HCM,Service Task,Марина_1,2025-10-05 22:35:26,2025-10-05 22:54:26,19,,
019dba5c-c90e-408a-9c6b-6e68eb4c74c4,VAC-1053,CAND-10053,РЕКРУТЕР,Разместить вакансию,Task,Екатерина_4,2025-10-05 23:46:26,2025-10-06 01:29:26,103,,
019dba5c-c90e-408a-9c6b-6e68eb4c74c4,VAC-1053,CAND-10053,РЕКРУТЕР,Собирать резюме,Task,Екатерина_1,2025-10-06 02:29:26,2025-10-08 15:00:26,3631,,
019dba5c-c90e-408a-9c6b-6e68eb4c74c4,VAC-1053,CAND-10053,РЕКРУТЕР,Скрининг,Task,Алексей_1,2025-10-08 15:21:26,2025-10-08 15:44:26,23,rejected,некорректное резюме
02074922-796b-4e36-a29a-d4042c651e2f,VAC-1106,CAND-10106,РУКОВОДИТЕЛЬ,Создать заявку,User Task,Сидоров_6,2025-10-16 23:13:26,2025-10-16 23:30:26,17,,
02074922-796b-4e36-a29a-d4042c651e2f,VAC-1106,CAND-10106,HR,Зарегистрировать в HCM,Service Task,Марина_4,2025-10-17 00:47:26,2025-10-17 01:04:26,17,,
02074922-796b-4e36-a29a-d4042c651e2f,VAC-1106,CAND-10106,РЕКРУТЕР,Разместить вакансию,Task,Дмитрий_7,2025-10-17 01:44:26,2025-10-17 03:31:26,107,,
02074922-796b-4e36-a29a-d4042c651e2f,VAC-1106,CAND-10106,РЕКРУТЕР,Собирать резюме,Task,Дмитрий_5,2025-10-17 04:31:26,2025-10-18 12:15:26,1904,,
02074922-796b-4e36-a29a-d4042c651e2f,VAC-1106,CAND-10106,РЕКРУТЕР,Скрининг,Task,Дмитрий_1,2025-10-18 12:59:26,2025-10-18 13:32:26,33,rejected,некорректное резюме
024f2bb2-25bb-46d8-a837-7b92937d3929,VAC-1133,CAND-10133,РУКОВОДИТЕЛЬ,Создать заявку,User Task,Сидоров_6,2025-09-04 15:48:26,2025-09-04 16:23:26,35,,
