case_id,vacancy_id,candidate_id,lane,activity,activity_type,assignee,start_time,end_time,duration_sec,outcome,notes
005967e8-3219-413c-93f9-ea04d0abe4a2,VAC-1067,CAND-10067,РУКОВОДИТЕЛЬ,Создать заявку,User Task,Кузнецов_4,2025-10-08 19:27:29.325256,2025-10-08 20:06:29.325256,2340,,
005967e8-3219-413c-93f9-ea04d0abe4a2,VAC-1067,CAND-10067,HR,Зарегистрировать в HCM,Service Task,Ольга_3,2025-10-08 20:22:29.325256,2025-10-08 20:37:29.325256,900,,
005967e8-3219-413c-93f9-ea04d0abe4a2,VAC-1067,CAND-10067,РЕКРУТЕР,Разместить вакансию,Task,Екатерина_2,2025-10-08 20:55:29.325256,2025-10-08 21:29:29.325256,2040,,
005967e8-3219-413c-93f9-ea04d0abe4a2,VAC-1067,CAND-10067,РЕКРУТЕР,Собирать резюме,Task,Екатерина_7,2025-10-08 21:55:29.325256,2025-10-09 01:52:29.325256,14220,,
005967e8-3219-413c-93f9-ea04d0abe4a2,VAC-1067,CAND-10067,РЕКРУТЕР,Скрининг,Task,Алексей_4,2025-10-09 03:15:29.325256,2025-10-09 04:58:29.325256,6180,passed,
005967e8-3219-413c-93f9-ea04d0abe4a2,VAC-1067,CAND-10067,ИНТЕРВЬЮЕРЫ,Назначить интервью,User Task,Андрей_8,2025-10-09 05:53:29.325256,2025-10-09 06:36:29.325256,2580,,
005967e8-3219-413c-93f9-ea04d0abe4a2,VAC-1067,CAND-10067,ИНТЕРВЬЮЕРЫ,Интервью (раунд 1),User Task,Андрей_7,2025-10-09 09:58:29.325256,2025-10-09 10:40:29.325256,2520,passed,
005967e8-3219-413c-93f9-ea04d0abe4a2,VAC-1067,CAND-10067,ИНТЕРВЬЮЕРЫ,Интервью (раунд 2),User Task,Андрей_3,2025-10-09 13:02:29.325256,2025-10-09 14:31:29.325256,5340,passed,
005967e8-3219-413c-93f9-ea04d0abe4a2,VAC-1067,CAND-10067,ИНТЕРВЬЮЕРЫ,Интервью (раунд 3),User Task,Анна_6,2025-10-09 17:09:29.325256,2025-10-09 18:53:29.325256,6240,passed,
005967e8-3219-413c-93f9-ea04d0abe4a2,VAC-1067,CAND-10067,ИНТЕРВЬЮЕРЫ,Финальное интервью,User Task,Андрей_9,2025-10-09 21:44:29.325256,2025-10-09 23:36:29.325256,6720,passed,
005967e8-3219-413c-93f9-ea04d0abe4a2,VAC-1067,CAND-10067,HR (ОФФЕР),Согласовать условия,User Task,HR_Manager_5,2025-10-10 00:14:29.325256,2025-10-10 02:29:29.325256,8100,,
005967e8-3219-413c-93f9-ea04d0abe4a2,VAC-1067,CAND-10067,HR (ОФФЕР),Сгенерировать оффер,Service Task,HR_Manager_7,2025-10-10 02:37:29.325256,2025-10-10 02:56:29.325256,1140,,
005967e8-3219-413c-93f9-ea04d0abe4a2,VAC-1067,CAND-10067,HR (ОФФЕР),Отправить оффер,Send Task,HR_Manager_6,2025-10-10 03:14:29.325256,2025-10-10 03:22:29.325256,480,sent,
005967e8-3219-413c-93f9-ea04d0abe4a2,VAC-1067,CAND-10067,HR (ОФФЕР),Timer: ожидание ответа (7 дн),Timer,,2025-10-10 03:22:29.325256,2025-10-17 03:22:29.325256,604800,timer_elapsed,
005967e8-3219-413c-93f9-ea04d0abe4a2,VAC-1067,CAND-10067,HR (ОФФЕР),Переговоры / отказ,Task,HR_Manager_7,2025-10-18 01:08:29.325256,2025-10-18 04:11:29.325256,10980,rejected,
00f5d63f-9a45-4226-b532-7ea2b315633a,VAC-1133,CAND-10133,РУКОВОДИТЕЛЬ,Создать заявку,User Task,Кузнецов_2,2025-10-21 15:22:29.325256,2025-10-21 15:28:29.325256,360,,
00f5d63f-9a45-4226-b532-7ea2b315633a,VAC-1133,CAND-10133,HR,Зарегистрировать в HCM,Service Task,Марина_4,2025-10-21 15:51:29.325256,2025-10-21 16:19:29.325256,1680,,
00f5d63f-9a45-4226-b532-7ea2b315633a,VAC-1133,CAND-10133,РЕКРУТЕР,Разместить вакансию,Task,Екатерина_9,2025-10-21 16:56:29.325256,2025-10-21 18:19:29.325256,4980,,
00f5d63f-9a45-4226-b532-7ea2b315633a,VAC-1133,CAND-10133,РЕКРУТЕР,Собирать резюме,Task,Дмитрий_6,2025-10-21 19:58:29.325256,2025-10-21 23:47:29.325256,13740,,
00f5d63f-9a45-4226-b532-7ea2b315633a,VAC-1133,CAND-10133,РЕКРУТЕР,Скрининг,Task,Екатерина_8,2025-10-22 00:33:29.325256,2025-10-22 00:43:29.325256,600,rejected,некорректное резюме
00f5d63f-9a45-4226-b532-7ea2b315633a,VAC-1133,CAND-10133,РЕКРУТЕР,Скрининг,Task,Екатерина_8,2025-10-22 01:33:29.325256,2025-10-22 02:17:29.325256,2640,rejected,некорректное резюме
01f80bb6-e07c-41d5-ae72-f68d03b5f5c9,VAC-1142,CAND-10142,РУКОВОДИТЕЛЬ,Создать заявку,User Task,Сидоров_6,2025-09-05 17:49:29.325256,2025-09-05 18:29:29.325256,2400,,
01f80bb6-e07c-41d5-ae72-f68d03b5f5c9,VAC-1142,CAND-10142,HR,Зарегистрировать в HCM,Service Task,Ольга_1,2025-09-05 18:58:29.325256,2025-09-05 19:13:29.325256,900,,
01f80bb6-e07c-41d5-ae72-f68d03b5f5c9,VAC-1142,CAND-10142,РЕКРУТЕР,Разместить вакансию,Task,Дмитрий_1,2025-09-05 20:00:29.325256,2025-09-05 20:14:29.325256,840,,
01f80bb6-e07c-41d5-ae72-f68d03b5f5c9,VAC-1142,CAND-10142,РЕКРУТЕР,Собирать резюме,Task,Дмитрий_1,2025-09-06 00:49:29.325256,2025-09-06 01:53:29.325256,3840,,
01f80bb6-e07c-41d5-ae72-f68d03b5f5c9,VAC-1142,CAND-10142,РЕКРУТЕР,Скрининг,Task,Алексей_6,2025-09-06 02:36:29.325256,2025-09-06 03:09:29.325256,1980,passed,
01f80bb6-e07c-41d5-ae72-f68d03b5f5c9,VAC-1142,CAND-10142,ИНТЕРВЬЮЕРЫ,Назначить интервью,User Task,Сергей_9,2025-09-06 07:09:29.325256,2025-09-06 07:58:29.325256,2940,,
01f80bb6-e07c-41d5-ae72-f68d03b5f5c9,VAC-1142,CAND-10142,ИНТЕРВЬЮЕРЫ,Интервью (раунд 1),User Task,Андрей_2,2025-09-06 10:50:29.325256,2025-09-06 13:46:29.325256,10560,rejected,недостаточно навыков
03792bf0-4dde-48cd-8e59-05ec830edddb,VAC-1138,CAND-10138,РУКОВОДИТЕЛЬ,Создать заявку,User Task,Петров_6,2025-09-08 18:40:29.325256,2025-09-08 19:04:29.325256,1440,,
03792bf0-4dde-48cd-8e59-05ec830edddb,VAC-1138,CAND-10138,HR,Зарегистрировать в HCM,Service Task,Марина_4,2025-09-08 20:01:29.325256,2025-09-08 20:03:29.325256,120,,
