case_id,vacancy_id,candidate_id,lane,activity,activity_type,assignee,start_time,end_time,duration_sec,outcome,notes
0637a964-7019-4228-83cf-d11939326cb7,VAC-1186,CAND-10186,РУКОВОДИТЕЛЬ,Создать заявку,User Task,Петров_7,2025-10-10 17:16:13.940715,2025-10-10 18:08:13.940715,3120,,
0637a964-7019-4228-83cf-d11939326cb7,VAC-1186,CAND-10186,HR,Зарегистрировать в HCM,Service Task,Наталья_3,2025-10-10 18:22:13.940715,2025-10-10 18:27:13.940715,300,,
0637a964-7019-4228-83cf-d11939326cb7,VAC-1186,CAND-10186,РЕКРУТЕР,Разместить вакансию,Task,Дмитрий_7,2025-10-10 18:41:13.940715,2025-10-10 20:11:13.940715,5400,,
0637a964-7019-4228-83cf-d11939326cb7,VAC-1186,CAND-10186,РЕКРУТЕР,Собирать резюме,Task,Алексей_8,2025-10-10 21:26:13.940715,2025-10-11 03:27:13.940715,21660,,
0637a964-7019-4228-83cf-d11939326cb7,VAC-1186,CAND-10186,РЕКРУТЕР,Скрининг,Task,Екатерина_2,2025-10-11 04:40:13.940715,2025-10-11 05:37:13.940715,3420,passed,
0637a964-7019-4228-83cf-d11939326cb7,VAC-1186,CAND-10186,ИНТЕРВЬЮЕРЫ,Назначить интервью,User Task,Анна_4,2025-10-11 07:33:13.940715,2025-10-11 08:08:13.940715,2100,,
0637a964-7019-4228-83cf-d11939326cb7,VAC-1186,CAND-10186,ИНТЕРВЬЮЕРЫ,Интервью (раунд 1),User Task,Анна_6,2025-10-11 11:58:13.940715,2025-10-11 13:20:13.940715,4920,passed,
0637a964-7019-4228-83cf-d11939326cb7,VAC-1186,CAND-10186,ИНТЕРВЬЮЕРЫ,Интервью (раунд 2),User Task,Анна_1,2025-10-11 17:20:13.940715,2025-10-11 19:23:13.940715,7380,passed,
0637a964-7019-4228-83cf-d11939326cb7,VAC-1186,CAND-10186,ИНТЕРВЬЮЕРЫ,Интервью (раунд 3),User Task,Андрей_4,2025-10-11 23:02:13.940715,2025-10-12 02:36:13.940715,12840,rejected,поведенческий
0644eb17-d6b5-4dcc-8552-c0ed5b1cc861,VAC-1130,CAND-10130,РУКОВОДИТЕЛЬ,Создать заявку,User Task,Кузнецов_6,2025-08-27 16:00:13.940715,2025-08-27 16:52:13.940715,3120,,
0644eb17-d6b5-4dcc-8552-c0ed5b1cc861,VAC-1130,CAND-10130,HR,Зарегистрировать в HCM,Service Task,Наталья_5,2025-08-27 17:43:13.940715,2025-08-27 18:06:13.940715,1380,,
0644eb17-d6b5-4dcc-8552-c0ed5b1cc861,VAC-1130,CAND-10130,РЕКРУТЕР,Разместить вакансию,Task,Екатерина_2,2025-08-27 18:40:13.940715,2025-08-27 19:10:13.940715,1800,,
0644eb17-d6b5-4dcc-8552-c0ed5b1cc861,VAC-1130,CAND-10130,РЕКРУТЕР,Собирать резюме,Task,Алексей_4,2025-08-27 22:53:13.940715,2025-08-28 02:28:13.940715,12900,,
0644eb17-d6b5-4dcc-8552-c0ed5b1cc861,VAC-1130,CAND-10130,РЕКРУТЕР,Скрининг,Task,Алексей_4,2025-08-28 03:39:13.940715,2025-08-28 04:01:13.940715,1320,passed,
0644eb17-d6b5-4dcc-8552-c0ed5b1cc861,VAC-1130,CAND-10130,ИНТЕРВЬЮЕРЫ,Назначить интервью,User Task,Анна_4,2025-08-28 04:57:13.940715,2025-08-28 05:14:13.940715,1020,,
0644eb17-d6b5-4dcc-8552-c0ed5b1cc861,VAC-1130,CAND-10130,ИНТЕРВЬЮЕРЫ,Интервью (раунд 1),User Task,Сергей_2,2025-08-28 06:29:13.940715,2025-08-28 09:36:13.940715,11220,passed,
0644eb17-d6b5-4dcc-8552-c0ed5b1cc861,VAC-1130,CAND-10130,ИНТЕРВЬЮЕРЫ,Интервью (раунд 2),User Task,Анна_8,2025-08-28 13:22:13.940715,2025-08-28 16:50:13.940715,12480,passed,
0644eb17-d6b5-4dcc-8552-c0ed5b1cc861,VAC-1130,CAND-10130,ИНТЕРВЬЮЕРЫ,Интервью (раунд 3),User Task,Андрей_3,2025-08-28 20:19:13.940715,2025-08-28 23:54:13.940715,12900,passed,
0644eb17-d6b5-4dcc-8552-c0ed5b1cc861,VAC-1130,CAND-10130,ИНТЕРВЬЮЕРЫ,Финальное интервью,User Task,Анна_6,2025-08-29 03:40:13.940715,2025-08-29 05:11:13.940715,5460,passed,
0644eb17-d6b5-4dcc-8552-c0ed5b1cc861,VAC-1130,CAND-10130,HR (ОФФЕР),Согласовать условия,User Task,HR_Manager_6,2025-08-29 08:09:13.940715,2025-08-29 09:59:13.940715,6600,,
0644eb17-d6b5-4dcc-8552-c0ed5b1cc861,VAC-1130,CAND-10130,HR (ОФФЕР),Сгенерировать оффер,Service Task,HR_Manager_6,2025-08-29 10:24:13.940715,2025-08-29 10:43:13.940715,1140,,
0644eb17-d6b5-4dcc-8552-c0ed5b1cc861,VAC-1130,CAND-10130,HR (ОФФЕР),Отправить оффер,Send Task,HR_Manager_4,2025-08-29 10:57:13.940715,2025-08-29 11:04:13.940715,420,sent,
0644eb17-d6b5-4dcc-8552-c0ed5b1cc861,VAC-1130,CAND-10130,HR (ОФФЕР),Timer: ожидание ответа (дни),Timer,,2025-08-29 11:04:13.940715,2025-08-31 11:04:13.940715,172800,timer_elapsed,
0644eb17-d6b5-4dcc-8552-c0ed5b1cc861,VAC-1130,CAND-10130,SECURITY,Background Check,Call Activity,Служба_БД_6,2025-09-02 00:38:13.940715,2025-09-04 23:51:13.940715,256380,report_ready,
0644eb17-d6b5-4dcc-8552-c0ed5b1cc861,VAC-1130,CAND-10130,SECURITY,Решение руководителя по BG,User Task,Иванов_5,2025-09-05 01:55:13.940715,2025-09-05 03:46:13.940715,6660,reject_by_manager,
06b6331c-1bc7-4f93-9f5f-fc7fee0492fd,VAC-1126,CAND-10126,РУКОВОДИТЕЛЬ,Создать заявку,User Task,Кузнецов_3,2025-10-12 16:29:13.940715,2025-10-12 17:08:13.940715,2340,,
06b6331c-1bc7-4f93-9f5f-fc7fee0492fd,VAC-1126,CAND-10126,HR,Зарегистрировать в HCM,Service Task,Ольга_7,2025-10-12 17:21:13.940715,2025-10-12 17:50:13.940715,1740,,
06b6331c-1bc7-4f93-9f5f-fc7fee0492fd,VAC-1126,CAND-10126,РЕКРУТЕР,Разместить вакансию,Task,Алексей_4,2025-10-12 18:44:13.940715,2025-10-12 19:07:13.940715,1380,,
06b6331c-1bc7-4f93-9f5f-fc7fee0492fd,VAC-1126,CAND-10126,РЕКРУТЕР,Собирать резюме,Task,Дмитрий_4,2025-10-12 20:55:13.940715,2025-10-13 04:29:13.940715,27240,,
06b6331c-1bc7-4f93-9f5f-fc7fee0492fd,VAC-1126,CAND-10126,РЕКРУТЕР,Скрининг,Task,Алексей_8,2025-10-13 06:08:13.940715,2025-10-13 06:46:13.940715,2280,rejected,не прошёл тест
08217d1b-aed8-4f8e-95d9-8d934c4543b7,VAC-1002,CAND-10002,РУКОВОДИТЕЛЬ,Создать заявку,User Task,Иванов_4,2025-10-06 16:18:13.940715,2025-10-06 17:12:13.940715,3240,,
08217d1b-aed8-4f8e-95d9-8d934c4543b7,VAC-1002,CAND-10002,HR,Зарегистрировать в HCM,Service Task,Ольга_7,2025-10-06 18:05:13.940715,2025-10-06 18:07:13.940715,120,,
08217d1b-aed8-4f8e-95d9-8d934c4543b7,VAC-1002,CAND-10002,РЕКРУТЕР,Разместить вакансию,Task,Алексей_6,2025-10-06 18:25:13.940715,2025-10-06 19:01:13.940715,2160,,
