case_id,vacancy_id,candidate_id,lane,activity,activity_type,is_wait_time,assignee,start_time,end_time,duration_min,outcome,notes
05bf8926-4da2-44fe-8947-ddbf57446cf9,VAC-1068,CAND-10068,РУКОВОДИТЕЛЬ,Создать заявку,User Task,no,Иванов_9,2025-09-16 12:45:04.498795,2025-09-16 13:31:04.498795,46,,
05bf8926-4da2-44fe-8947-ddbf57446cf9,VAC-1068,CAND-10068,СИСТЕМА,Ожидание обработки,Wait,yes,,2025-09-16 13:31:04.498795,2025-09-16 14:14:04.498795,43,,
05bf8926-4da2-44fe-8947-ddbf57446cf9,VAC-1068,CAND-10068,HR,Зарегистрировать в HCM,Service Task,no,Марина_1,2025-09-16 14:14:04.498795,2025-09-16 14:45:04.498795,31,,
05bf8926-4da2-44fe-8947-ddbf57446cf9,VAC-1068,CAND-10068,РЕКРУТЕР,Разместить вакансию,Task,no,Алексей_8,2025-09-16 17:13:04.498795,2025-09-16 19:03:04.498795,110,,
05bf8926-4da2-44fe-8947-ddbf57446cf9,VAC-1068,CAND-10068,РЕКРУТЕР,Собирать резюме,Task,no,Екатерина_2,2025-09-16 20:03:04.498795,2025-09-18 15:56:04.498795,2633,,
05bf8926-4da2-44fe-8947-ddbf57446cf9,VAC-1068,CAND-10068,СИСТЕМА,Ожидание проверки резюме,Wait,yes,,2025-09-18 15:56:04.498795,2025-09-19 01:54:04.498795,598,,
05bf8926-4da2-44fe-8947-ddbf57446cf9,VAC-1068,CAND-10068,РЕКРУТЕР,Скрининг,Task,no,Дмитрий_3,2025-09-19 01:54:04.498795,2025-09-19 02:25:04.498795,31,passed,
05bf8926-4da2-44fe-8947-ddbf57446cf9,VAC-1068,CAND-10068,СИСТЕМА,Ожидание назначения интервью,Wait,yes,,2025-09-19 02:25:04.498795,2025-09-20 10:40:04.498795,1935,,
05bf8926-4da2-44fe-8947-ddbf57446cf9,VAC-1068,CAND-10068,ИНТЕРВЬЮЕРЫ,Назначить интервью,User Task,no,Анна_3,2025-09-20 10:40:04.498795,2025-09-20 10:58:04.498795,18,,
05bf8926-4da2-44fe-8947-ddbf57446cf9,VAC-1068,CAND-10068,СИСТЕМА,Ожидание интервью (раунд 1),Wait,yes,,2025-09-20 10:58:04.498795,2025-09-21 08:26:04.498795,1288,,
05bf8926-4da2-44fe-8947-ddbf57446cf9,VAC-1068,CAND-10068,ИНТЕРВЬЮЕРЫ,Интервью (раунд 1),User Task,no,Анна_8,2025-09-21 08:26:04.498795,2025-09-21 09:59:04.498795,93,passed,
05bf8926-4da2-44fe-8947-ddbf57446cf9,VAC-1068,CAND-10068,СИСТЕМА,Ожидание интервью (раунд 2),Wait,yes,,2025-09-21 09:59:04.498795,2025-09-22 03:55:04.498795,1076,,
05bf8926-4da2-44fe-8947-ddbf57446cf9,VAC-1068,CAND-10068,ИНТЕРВЬЮЕРЫ,Интервью (раунд 2),User Task,no,Анна_7,2025-09-22 03:55:04.498795,2025-09-22 05:31:04.498795,96,passed,
05bf8926-4da2-44fe-8947-ddbf57446cf9,VAC-1068,CAND-10068,ИНТЕРВЬЮЕРЫ,Финальное интервью,User Task,no,Сергей_9,2025-09-22 22:47:04.498795,2025-09-22 23:36:04.498795,49,passed,
05bf8926-4da2-44fe-8947-ddbf57446cf9,VAC-1068,CAND-10068,HR (ОФФЕР),Согласовать условия,User Task,no,Наталья_2,2025-09-23 03:08:04.498795,2025-09-23 06:51:04.498795,223,,
05bf8926-4da2-44fe-8947-ddbf57446cf9,VAC-1068,CAND-10068,HR (ОФФЕР),Сгенерировать оффер,Service Task,no,Наталья_6,2025-09-23 07:11:04.498795,2025-09-23 07:40:04.498795,29,,
05bf8926-4da2-44fe-8947-ddbf57446cf9,VAC-1068,CAND-10068,HR (ОФФЕР),Отправить оффер,Send Task,no,Наталья_1,2025-09-23 07:45:04.498795,2025-09-23 07:55:04.498795,10,sent,
05bf8926-4da2-44fe-8947-ddbf57446cf9,VAC-1068,CAND-10068,HR (ОФФЕР),Ожидание ответа (3д),Timer,yes,,2025-09-23 07:55:04.498795,2025-09-26 07:55:04.498795,4320,timer_elapsed,
05bf8926-4da2-44fe-8947-ddbf57446cf9,VAC-1068,CAND-10068,HR (ОФФЕР),Переговоры / отказ,Task,no,Марина_7,2025-09-26 09:55:04.498795,2025-09-26 13:48:04.498795,233,rejected,
0a7cd065-d30d-4b76-89e1-d64a35748658,VAC-1197,CAND-10197,РУКОВОДИТЕЛЬ,Создать заявку,User Task,no,Петров_6,2025-09-13 20:05:04.498795,2025-09-13 20:19:04.498795,14,,
0a7cd065-d30d-4b76-89e1-d64a35748658,VAC-1197,CAND-10197,СИСТЕМА,Ожидание обработки,Wait,yes,,2025-09-13 20:19:04.498795,2025-09-13 22:04:04.498795,105,,
0a7cd065-d30d-4b76-89e1-d64a35748658,VAC-1197,CAND-10197,HR,Зарегистрировать в HCM,Service Task,no,Наталья_7,2025-09-13 22:04:04.498795,2025-09-13 22:35:04.498795,31,,
0a7cd065-d30d-4b76-89e1-d64a35748658,VAC-1197,CAND-10197,РЕКРУТЕР,Разместить вакансию,Task,no,Алексей_9,2025-09-13 23:40:04.498795,2025-09-14 00:30:04.498795,50,,
0a7cd065-d30d-4b76-89e1-d64a35748658,VAC-1197,CAND-10197,РЕКРУТЕР,Собирать резюме,Task,no,Екатерина_9,2025-09-14 01:30:04.498795,2025-09-15 09:44:04.498795,1934,,
0a7cd065-d30d-4b76-89e1-d64a35748658,VAC-1197,CAND-10197,СИСТЕМА,Ожидание проверки резюме,Wait,yes,,2025-09-15 09:44:04.498795,2025-09-15 17:01:04.498795,437,,
0a7cd065-d30d-4b76-89e1-d64a35748658,VAC-1197,CAND-10197,РЕКРУТЕР,Скрининг,Task,no,Алексей_4,2025-09-15 17:01:04.498795,2025-09-15 17:26:04.498795,25,passed,
0a7cd065-d30d-4b76-89e1-d64a35748658,VAC-1197,CAND-10197,СИСТЕМА,Ожидание назначения интервью,Wait,yes,,2025-09-15 17:26:04.498795,2025-09-17 04:07:04.498795,2081,,
0a7cd065-d30d-4b76-89e1-d64a35748658,VAC-1197,CAND-10197,ИНТЕРВЬЮЕРЫ,Назначить интервью,User Task,no,Анна_7,2025-09-17 04:07:04.498795,2025-09-17 04:27:04.498795,20,,
0a7cd065-d30d-4b76-89e1-d64a35748658,VAC-1197,CAND-10197,СИСТЕМА,Ожидание интервью (раунд 1),Wait,yes,,2025-09-17 04:27:04.498795,2025-09-18 01:08:04.498795,1241,,
0a7cd065-d30d-4b76-89e1-d64a35748658,VAC-1197,CAND-10197,ИНТЕРВЬЮЕРЫ,Интервью (раунд 1),User Task,no,Андрей_3,2025-09-18 01:08:04.498795,2025-09-18 02:23:04.498795,75,rejected,недостаточно навыков
0b9c1161-37b1-499b-a495-ca6b82acd9b3,VAC-1022,CAND-10022,РУКОВОДИТЕЛЬ,Создать заявку,User Task,no,Петров_7,2025-10-15 17:51:04.498795,2025-10-15 18:31:04.498795,40,,
0b9c1161-37b1-499b-a495-ca6b82acd9b3,VAC-1022,CAND-10022,СИСТЕМА,Ожидание обработки,Wait,yes,,2025-10-15 18:31:04.498795,2025-10-15 19:33:04.498795,62,,
0b9c1161-37b1-499b-a495-ca6b82acd9b3,VAC-1022,CAND-10022,HR,Зарегистрировать в HCM,Service Task,no,Марина_2,2025-10-15 19:33:04.498795,2025-10-15 19:53:04.498795,20,,
0b9c1161-37b1-499b-a495-ca6b82acd9b3,VAC-1022,CAND-10022,РЕКРУТЕР,Разместить вакансию,Task,no,Дмитрий_8,2025-10-15 21:04:04.498795,2025-10-15 22:06:04.498795,62,,
0b9c1161-37b1-499b-a495-ca6b82acd9b3,VAC-1022,CAND-10022,РЕКРУТЕР,Собирать резюме,Task,no,Екатерина_7,2025-10-15 23:06:04.498795,2025-10-17 18:46:04.498795,2620,,
0b9c1161-37b1-499b-a495-ca6b82acd9b3,VAC-1022,CAND-10022,СИСТЕМА,Ожидание проверки резюме,Wait,yes,,2025-10-17 18:46:04.498795,2025-10-17 22:23:04.498795,217,,
0b9c1161-37b1-499b-a495-ca6b82acd9b3,VAC-1022,CAND-10022,РЕКРУТЕР,Скрининг,Task,no,Алексей_6,2025-10-17 22:23:04.498795,2025-10-17 22:47:04.498795,24,passed,
0b9c1161-37b1-499b-a495-ca6b82acd9b3,VAC-1022,CAND-10022,СИСТЕМА,Ожидание назначения интервью,Wait,yes,,2025-10-17 22:47:04.498795,2025-10-19 02:44:04.498795,1677,,
0b9c1161-37b1-499b-a495-ca6b82acd9b3,VAC-1022,CAND-10022,ИНТЕРВЬЮЕРЫ,Назначить интервью,User Task,no,Сергей_9,2025-10-19 02:44:04.498795,2025-10-19 03:18:04.498795,34,,
0b9c1161-37b1-499b-a495-ca6b82acd9b3,VAC-1022,CAND-10022,СИСТЕМА,Ожидание интервью (раунд 1),Wait,yes,,2025-10-19 03:18:04.498795,2025-10-19 11:19:04.498795,481,,
0b9c1161-37b1-499b-a495-ca6b82acd9b3,VAC-1022,CAND-10022,ИНТЕРВЬЮЕРЫ,Интервью (раунд 1),User Task,no,Андрей_4,2025-10-19 11:19:04.498795,2025-10-19 13:13:04.498795,114,passed,
0b9c1161-37b1-499b-a495-ca6b82acd9b3,VAC-1022,CAND-10022,СИСТЕМА,Ожидание интервью (раунд 2),Wait,yes,,2025-10-19 13:13:04.498795,2025-10-20 06:03:04.498795,1010,,
0b9c1161-37b1-499b-a495-ca6b82acd9b3,VAC-1022,CAND-10022,ИНТЕРВЬЮЕРЫ,Интервью (раунд 2),User Task,no,Сергей_8,2025-10-20 06:03:04.498795,2025-10-20 07:34:04.498795,91,passed,
0b9c1161-37b1-499b-a495-ca6b82acd9b3,VAC-1022,CAND-10022,СИСТЕМА,Ожидание интервью (раунд 3),Wait,yes,,2025-10-20 07:34:04.498795,2025-10-21 04:32:04.498795,1258,,
0b9c1161-37b1-499b-a495-ca6b82acd9b3,VAC-1022,CAND-10022,ИНТЕРВЬЮЕРЫ,Интервью (раунд 3),User Task,no,Анна_3,2025-10-21 04:32:04.498795,2025-10-21 05:23:04.498795,51,passed,
