case_id,vacancy_id,candidate_id,lane,activity,activity_type,assignee,start_time,end_time,duration_min,outcome,notes
00d5f296-1bf0-4ac7-a2b8-bdae6d56e41a,VAC-1188,CAND-10188,РУКОВОДИТЕЛЬ,Создать заявку,User Task,Кузнецов_3,2025-09-30 10:43:47.262585,2025-09-30 11:13:47.262585,30,,
00d5f296-1bf0-4ac7-a2b8-bdae6d56e41a,VAC-1188,CAND-10188,HR,Зарегистрировать в HCM,Service Task,Наталья_1,2025-09-30 11:33:47.262585,2025-09-30 11:54:47.262585,21,,
00d5f296-1bf0-4ac7-a2b8-bdae6d56e41a,VAC-1188,CAND-10188,РЕКРУТЕР,Разместить вакансию,Task,Дмитрий_7,2025-09-30 12:24:47.262585,2025-09-30 13:18:47.262585,54,,
00d5f296-1bf0-4ac7-a2b8-bdae6d56e41a,VAC-1188,CAND-10188,РЕКРУТЕР,Собирать резюме,Task,Дмитрий_1,2025-09-30 14:18:47.262585,2025-10-02 13:44:47.262585,2846,,
00d5f296-1bf0-4ac7-a2b8-bdae6d56e41a,VAC-1188,CAND-10188,РЕКРУТЕР,Скрининг,Task,Екатерина_2,2025-10-02 15:28:47.262585,2025-10-02 15:47:47.262585,19,passed,
00d5f296-1bf0-4ac7-a2b8-bdae6d56e41a,VAC-1188,CAND-10188,ИНТЕРВЬЮЕРЫ,Назначить интервью,User Task,Анна_3,2025-10-02 18:47:47.262585,2025-10-02 19:21:47.262585,34,,
00d5f296-1bf0-4ac7-a2b8-bdae6d56e41a,VAC-1188,CAND-10188,ИНТЕРВЬЮЕРЫ,Интервью (раунд 1),User Task,Сергей_5,2025-10-02 20:02:47.262585,2025-10-02 21:56:47.262585,114,passed,
00d5f296-1bf0-4ac7-a2b8-bdae6d56e41a,VAC-1188,CAND-10188,ИНТЕРВЬЮЕРЫ,Интервью (раунд 2),User Task,Анна_6,2025-10-02 22:50:47.262585,2025-10-03 00:21:47.262585,91,passed,
00d5f296-1bf0-4ac7-a2b8-bdae6d56e41a,VAC-1188,CAND-10188,ИНТЕРВЬЮЕРЫ,Интервью (раунд 3),User Task,Сергей_6,2025-10-03 00:59:47.262585,2025-10-03 01:45:47.262585,46,passed,
00d5f296-1bf0-4ac7-a2b8-bdae6d56e41a,VAC-1188,CAND-10188,ИНТЕРВЬЮЕРЫ,Финальное интервью,User Task,Андрей_2,2025-10-03 05:45:47.262585,2025-10-03 07:32:47.262585,107,passed,
00d5f296-1bf0-4ac7-a2b8-bdae6d56e41a,VAC-1188,CAND-10188,HR (ОФФЕР),Согласовать условия,User Task,HR_Manager_4,2025-10-03 09:27:47.262585,2025-10-03 14:05:47.262585,278,,
00d5f296-1bf0-4ac7-a2b8-bdae6d56e41a,VAC-1188,CAND-10188,HR (ОФФЕР),Сгенерировать оффер,Service Task,HR_Manager_7,2025-10-03 14:25:47.262585,2025-10-03 14:55:47.262585,30,,
00d5f296-1bf0-4ac7-a2b8-bdae6d56e41a,VAC-1188,CAND-10188,HR (ОФФЕР),Отправить оффер,Send Task,HR_Manager_2,2025-10-03 15:00:47.262585,2025-10-03 15:10:47.262585,10,sent,
00d5f296-1bf0-4ac7-a2b8-bdae6d56e41a,VAC-1188,CAND-10188,HR (ОФФЕР),Timer: ожидание ответа (дни),Timer,,2025-10-03 15:10:47.262585,2025-10-04 15:10:47.262585,1440,timer_elapsed,
