case_id,vacancy_id,candidate_id,lane,activity,activity_type,assignee,start_time,end_time,duration_min,outcome,notes
00e470cd-72a3-4641-9dfe-d90853176c52,VAC-1001,CAND-10001,РУКОВОДИТЕЛЬ,Создать заявку,User Task,Петров_2,2025-09-12 14:32:15,2025-09-12 15:30:15,58,,
00e470cd-72a3-4641-9dfe-d90853176c52,VAC-1001,CAND-10001,HR,Зарегистрировать в HCM,Service Task,Ольга_2,2025-09-12 15:30:15,2025-09-12 15:42:15,12,,
00e470cd-72a3-4641-9dfe-d90853176c52,VAC-1001,CAND-10001,РЕКРУТЕР,Разместить вакансию,Task,Дмитрий_5,2025-09-12 15:42:15,2025-09-12 16:47:15,65,,
00e470cd-72a3-4641-9dfe-d90853176c52,VAC-1001,CAND-10001,РЕКРУТЕР,Собирать резюме,Task,Екатерина_8,2025-09-12 16:47:15,2025-09-13 19:44:15,1617,,
00e470cd-72a3-4641-9dfe-d90853176c52,VAC-1001,CAND-10001,РЕКРУТЕР,Скрининг,Task,Дмитрий_2,2025-09-13 19:44:15,2025-09-13 20:23:15,39,passed,
00e470cd-72a3-4641-9dfe-d90853176c52,VAC-1001,CAND-10001,HR,Назначить интервью с HR,User Task,Ольга_6,2025-09-13 20:23:15,2025-09-13 20:50:15,27,,
00e470cd-72a3-4641-9dfe-d90853176c52,VAC-1001,CAND-10001,HR,Провести интервью с HR,User Task,Наталья_4,2025-09-13 20:50:15,2025-09-13 21:43:15,53,passed,
00e470cd-72a3-4641-9dfe-d90853176c52,VAC-1001,CAND-10001,ИНТЕРВЬЮЕРЫ,Назначить техническое интервью,User Task,Сергей_2,2025-09-13 21:43:15,2025-09-13 22:17:15,34,,
00e470cd-72a3-4641-9dfe-d90853176c52,VAC-1001,CAND-10001,ИНТЕРВЬЮЕРЫ,Провести техническое интервью,User Task,Сергей_5,2025-09-13 22:17:15,2025-09-13 23:14:15,57,rejected,слабое решение задач
018265c9-74e7-4d84-ac2e-7c057ea46e60,VAC-1076,CAND-10076,РУКОВОДИТЕЛЬ,Создать заявку,User Task,Петров_1,2025-08-26 15:51:15,2025-08-26 16:30:15,39,,
018265c9-74e7-4d84-ac2e-7c057ea46e60,VAC-1076,CAND-10076,HR,Зарегистрировать в HCM,Service Task,Марина_8,2025-08-26 16:30:15,2025-08-26 16:59:15,29,,
018265c9-74e7-4d84-ac2e-7c057ea46e60,VAC-1076,CAND-10076,РЕКРУТЕР,Разместить вакансию,Task,Дмитрий_1,2025-08-26 16:59:15,2025-08-26 18:43:15,104,,
018265c9-74e7-4d84-ac2e-7c057ea46e60,VAC-1076,CAND-10076,РЕКРУТЕР,Собирать резюме,Task,Екатерина_9,2025-08-26 18:43:15,2025-08-27 19:10:15,1467,,
018265c9-74e7-4d84-ac2e-7c057ea46e60,VAC-1076,CAND-10076,РЕКРУТЕР,Скрининг,Task,Екатерина_5,2025-08-27 19:10:15,2025-08-27 19:20:15,10,passed,
018265c9-74e7-4d84-ac2e-7c057ea46e60,VAC-1076,CAND-10076,HR,Назначить интервью с HR,User Task,Ольга_1,2025-08-27 19:20:15,2025-08-27 19:47:15,27,,
018265c9-74e7-4d84-ac2e-7c057ea46e60,VAC-1076,CAND-10076,HR,Провести интервью с HR,User Task,Наталья_2,2025-08-27 19:47:15,2025-08-27 21:27:15,100,passed,
018265c9-74e7-4d84-ac2e-7c057ea46e60,VAC-1076,CAND-10076,ИНТЕРВЬЮЕРЫ,Назначить техническое интервью,User Task,Андрей_9,2025-08-27 21:27:15,2025-08-27 22:06:15,39,,
018265c9-74e7-4d84-ac2e-7c057ea46e60,VAC-1076,CAND-10076,ИНТЕРВЬЮЕРЫ,Провести техническое интервью,User Task,Анна_9,2025-08-27 22:06:15,2025-08-27 23:15:15,69,passed,
018265c9-74e7-4d84-ac2e-7c057ea46e60,VAC-1076,CAND-10076,ИНТЕРВЬЮЕРЫ,Назначить финальное интервью,User Task,Сергей_5,2025-08-27 23:15:15,2025-08-27 23:33:15,18,,
018265c9-74e7-4d84-ac2e-7c057ea46e60,VAC-1076,CAND-10076,ИНТЕРВЬЮЕРЫ,Провести финальное интервью,User Task,Сергей_7,2025-08-27 23:33:15,2025-08-28 00:28:15,55,passed,
018265c9-74e7-4d84-ac2e-7c057ea46e60,VAC-1076,CAND-10076,HR (ОФФЕР),Согласовать условия,User Task,Марина_4,2025-08-28 00:28:15,2025-08-28 03:25:15,177,,
018265c9-74e7-4d84-ac2e-7c057ea46e60,VAC-1076,CAND-10076,HR (ОФФЕР),Сгенерировать оффер,Service Task,Наталья_5,2025-08-28 03:25:15,2025-08-28 03:52:15,27,,
018265c9-74e7-4d84-ac2e-7c057ea46e60,VAC-1076,CAND-10076,HR (ОФФЕР),Отправить оффер,Send Task,Марина_2,2025-08-28 03:52:15,2025-08-28 04:02:15,10,sent,
018265c9-74e7-4d84-ac2e-7c057ea46e60,VAC-1076,CAND-10076,SECURITY,Background Check,Call Activity,Служба_БД_7,2025-08-28 04:02:15,2025-08-30 08:21:15,3139,report_ready,
018265c9-74e7-4d84-ac2e-7c057ea46e60,VAC-1076,CAND-10076,IT,Выдача оборудования,Task,IT_Specialist_1,2025-08-30 08:21:15,2025-08-30 10:31:15,130,,
018265c9-74e7-4d84-ac2e-7c057ea46e60,VAC-1076,CAND-10076,IT,Создать доступы,Task,IT_Specialist_3,2025-08-30 10:31:15,2025-08-30 12:22:15,111,,
018265c9-74e7-4d84-ac2e-7c057ea46e60,VAC-1076,CAND-10076,IT,Вводное обучение,Service Task,Ольга_7,2025-08-30 12:22:15,2025-08-30 16:04:15,222,,
018265c9-74e7-4d84-ac2e-7c057ea46e60,VAC-1076,CAND-10076,HR,Назначить ментора,Task,Ольга_2,2025-08-30 16:04:15,2025-08-30 17:15:15,71,,
018265c9-74e7-4d84-ac2e-7c057ea46e60,VAC-1076,CAND-10076,HR,Уведомить всех,Message,system,2025-08-30 17:15:15,2025-08-30 17:20:15,5,notified,
